Index,UTC,Lat,Lon,Alt (MSL),Alt (HAE),HDOP,VDOP,SVs Used,Speed,Fix type (GPS) valid,DGPS,Fix type (GPS),SV R27 Doppler (L1OF)
0,,,,,,100.0,100.0,0,,No,No,,0.00
1,,,,,,100.0,100.0,0,,No,No,,0.00
2,,,,,,100.0,100.0,0,,No,No,,0.00
3,,,,,,100.0,100.0,0,,No,No,,0.00
4,,,,,,100.0,100.0,0,,No,No,,0.00
5,,,,,,100.0,100.0,0,,No,No,,0.00
6,,,,,,100.0,100.0,0,,No,No,,0.00
7,,,,,,100.0,100.0,0,,No,No,,0.00
8,,,,,,100.0,100.0,0,,No,No,,0.00
9,,,,,,100.0,100.0,0,,No,No,,0.00
10,,,,,,100.0,100.0,0,,No,No,,0.00
11,,,,,,100.0,100.0,0,,No,No,,0.00
12,,,,,,100.0,100.0,0,,No,No,,0.00
13,,,,,,100.0,100.0,0,,No,No,,0.00
14,,,,,,100.0,100.0,0,,No,No,,0.00
15,,,,,,100.0,100.0,0,,No,No,,0.00
16,,,,,,100.0,100.0,0,,No,No,,0.00
17,,,,,,100.0,100.0,0,,No,No,,0.00
18,,,,,,100.0,100.0,0,,No,No,,0.00
19,,,,,,100.0,100.0,0,,No,No,,0.00
20,,,,,,100.0,100.0,0,,No,No,,0.00
21,,,,,,100.0,100.0,0,,No,No,,0.00
22,,,,,,100.0,100.0,0,,No,No,,0.00
23,,,,,,100.0,100.0,0,,No,No,,0.00
24,,,,,,100.0,100.0,0,,No,No,,0.00
25,,,,,,100.0,100.0,0,,No,No,,0.00
26,,,,,,100.0,100.0,0,,No,No,,0.00
27,,,,,,100.0,100.0,0,,No,No,,0.00
28,,,,,,100.0,100.0,0,,No,No,,0.00
29,,,,,,100.0,100.0,0,,No,No,,0.00
30,,,,,,100.0,100.0,0,,No,No,,0.00
31,,,,,,100.0,100.0,0,,No,No,,0.00
32,,,,,,100.0,100.0,0,,No,No,,0.00
33,,,,,,100.0,100.0,0,,No,No,,0.00
34,,,,,,100.0,100.0,0,,No,No,,0.00
35,,,,,,100.0,100.0,0,,No,No,,0.00
36,,,,,,100.0,100.0,0,,No,No,,0.00
37,,,,,,100.0,100.0,0,,No,No,,0.00
38,,,,,,100.0,100.0,0,,No,No,,0.00
39,,,,,,100.0,100.0,0,,No,No,,0.00
40,,,,,,100.0,100.0,0,,No,No,,0.00
41,,,,,,100.0,100.0,0,,No,No,,0.00
42,,,,,,100.0,100.0,0,,No,No,,0.00
43,,,,,,100.0,100.0,0,,No,No,,0.00
44,,,,,,100.0,100.0,0,,No,No,,0.00
45,,,,,,100.0,100.0,0,,No,No,,0.00
46,,,,,,100.0,100.0,0,,No,No,,0.00
47,,,,,,100.0,100.0,0,,No,No,,0.00
48,19:46:22.000 08/02/2024,,,,,100.0,100.0,0,,No,No,,0.00
49,19:46:23.000 08/02/2024,41.88708950,-87.65889967,,,1.7,2.1,0,,Yes,No,DR,0.00
50,19:46:24.000 08/02/2024,41.88708667,-87.65889933,209.700,175.900,1.7,2.1,0,,Yes,No,DR,0.00
51,19:46:25.000 08/02/2024,41.88708167,-87.65890000,209.600,175.800,1.7,2.1,0,,Yes,No,DR,0.00
52,19:46:26.000 08/02/2024,41.88707533,-87.65890150,209.500,175.700,1.7,2.1,8,,Yes,No,3D,0.00
53,19:46:27.000 08/02/2024,41.88706750,-87.65890517,209.200,175.400,1.7,2.1,8,,Yes,No,3D,0.00
54,19:46:28.000 08/02/2024,41.88708133,-87.65890583,209.000,175.200,1.7,2.1,8,,Yes,No,3D,0.00
55,19:46:29.000 08/02/2024,41.88708067,-87.65890800,208.900,175.100,1.7,2.1,8,,Yes,No,3D,0.00
56,19:46:30.000 08/02/2024,41.88708067,-87.65890967,208.700,174.900,1.7,2.1,8,,Yes,No,3D,0.00
57,19:46:31.000 08/02/2024,41.88708050,-87.65891133,208.500,174.700,1.7,2.1,8,,Yes,No,3D,0.00
58,19:46:32.000 08/02/2024,41.88708017,-87.65891333,208.200,174.400,1.7,2.1,8,,Yes,No,3D,0.00
59,19:46:33.000 08/02/2024,41.88707967,-87.65891533,208.000,174.200,1.7,2.1,8,,Yes,No,3D,0.00
60,19:46:34.000 08/02/2024,41.88707900,-87.65891767,207.600,173.800,1.7,2.1,8,,Yes,No,3D,0.00
61,19:46:35.000 08/02/2024,41.88707833,-87.65892017,207.300,173.500,1.7,2.1,8,,Yes,No,3D,0.00
62,19:46:36.000 08/02/2024,41.88707783,-87.65892267,206.900,173.100,1.7,2.1,8,,Yes,No,3D,0.00
63,19:46:37.000 08/02/2024,41.88707750,-87.65892500,206.500,172.700,1.7,2.1,8,,Yes,No,3D,0.00
64,19:46:38.000 08/02/2024,41.88707733,-87.65892717,206.100,172.300,1.7,2.1,8,,Yes,No,3D,0.00
65,19:46:39.000 08/02/2024,41.88707700,-87.65892900,205.600,171.800,1.7,2.1,8,,Yes,No,3D,0.00
66,19:46:40.000 08/02/2024,41.88707683,-87.65893067,205.200,171.400,1.7,2.1,8,,Yes,No,3D,0.00
67,19:46:41.000 08/02/2024,41.88707667,-87.65893217,204.800,171.000,1.7,2.1,8,,Yes,No,3D,0.00
68,19:46:42.000 08/02/2024,41.88707650,-87.65893367,204.300,170.500,1.7,2.1,8,,Yes,No,3D,0.00
69,19:46:43.000 08/02/2024,41.88707650,-87.65893500,203.800,170.000,1.7,2.1,8,,Yes,No,3D,0.00
70,19:46:44.000 08/02/2024,41.88707633,-87.65893617,203.400,169.600,1.7,2.1,8,,Yes,No,3D,0.00
71,19:46:45.000 08/02/2024,41.88707617,-87.65893750,203.000,169.200,1.7,2.1,8,,Yes,No,3D,0.00
72,19:46:46.000 08/02/2024,41.88707583,-87.65893867,202.500,168.700,1.7,2.1,8,,Yes,No,3D,0.00
73,19:46:47.000 08/02/2024,41.88707567,-87.65894050,202.000,168.200,1.7,2.1,8,,Yes,No,3D,0.00
74,19:46:48.000 08/02/2024,41.88707533,-87.65894183,201.400,167.600,1.7,2.1,9,,Yes,No,3D,0.00
75,19:46:49.000 08/02/2024,41.88707500,-87.65894317,200.800,167.000,1.7,2.1,9,,Yes,No,3D,0.00
76,19:46:50.000 08/02/2024,41.88707467,-87.65894433,200.200,166.400,1.7,2.1,9,,Yes,No,3D,0.00
77,19:46:51.000 08/02/2024,41.88707450,-87.65894517,199.700,165.900,1.7,2.1,9,,Yes,No,3D,0.00
78,19:46:52.000 08/02/2024,41.88707367,-87.65894500,199.200,165.400,1.7,2.1,9,,Yes,Yes,3D,0.00
79,19:46:53.000 08/02/2024,41.88707283,-87.65894567,198.300,164.500,1.7,2.1,9,,Yes,No,3D,0.00
80,19:46:54.000 08/02/2024,41.88707200,-87.65894633,197.600,163.800,1.7,2.1,9,,Yes,No,3D,0.00
81,19:46:55.000 08/02/2024,41.88706767,-87.65895233,197.000,163.200,1.7,2.1,9,,Yes,No,3D,0.00
82,19:46:56.000 08/02/2024,41.88706850,-87.65895633,187.200,153.400,1.7,2.1,9,,Yes,No,3D,0.00
83,19:46:57.000 08/02/2024,41.88707450,-87.65896150,187.300,153.500,1.7,2.1,9,,Yes,No,3D,0.00
84,19:46:58.000 08/02/2024,41.88708467,-87.65896433,187.300,153.500,1.7,2.1,9,,Yes,No,3D,0.00
85,19:46:59.000 08/02/2024,41.88709467,-87.65896633,187.100,153.300,1.7,2.1,9,,Yes,No,3D,0.00
86,19:47:00.000 08/02/2024,41.88710500,-87.65897183,186.900,153.100,1.7,2.1,9,,Yes,No,3D,0.00
87,19:47:01.000 08/02/2024,41.88711650,-87.65897633,186.100,152.300,1.7,2.1,9,,Yes,No,3D,0.00
88,19:47:02.000 08/02/2024,41.88712817,-87.65898250,185.600,151.800,1.7,2.1,9,,Yes,Yes,3D,0.00
89,19:47:03.000 08/02/2024,41.88713950,-87.65898817,185.300,151.500,1.7,2.1,9,,Yes,Yes,3D,0.00
90,19:47:04.000 08/02/2024,41.88715000,-87.65899067,184.800,151.000,1.7,2.1,9,,Yes,Yes,3D,0.00
91,19:47:05.000 08/02/2024,41.88716150,-87.65899517,184.600,150.800,1.7,2.1,9,,Yes,Yes,3D,0.00
92,19:47:06.000 08/02/2024,41.88717083,-87.65899733,184.100,150.300,1.7,2.1,9,,Yes,No,3D,0.00
93,19:47:07.000 08/02/2024,41.88718100,-87.65899650,184.000,150.200,1.7,2.1,9,,Yes,No,3D,0.00
94,19:47:08.000 08/02/2024,41.88718833,-87.65899983,184.100,150.300,1.7,2.1,9,,Yes,No,3D,0.00
95,19:47:09.000 08/02/2024,41.88719350,-87.65899850,183.400,149.600,1.7,2.1,9,,Yes,Yes,3D,0.00
96,19:47:10.000 08/02/2024,41.88719767,-87.65899533,183.400,149.600,1.7,2.1,9,,Yes,No,3D,0.00
97,19:47:11.000 08/02/2024,41.88719950,-87.65899383,184.000,150.200,1.7,2.1,9,,Yes,No,3D,0.00
98,19:47:12.000 08/02/2024,41.88720033,-87.65899333,184.200,150.400,1.7,2.1,9,,Yes,No,3D,0.00
99,19:47:13.000 08/02/2024,41.88720083,-87.65899267,184.400,150.600,1.9,2.3,9,,Yes,No,3D,0.00
100,19:47:14.000 08/02/2024,41.88720133,-87.65899217,184.500,150.700,1.9,2.3,9,,Yes,No,3D,0.00
101,19:47:15.000 08/02/2024,41.88720167,-87.65899200,184.600,150.800,1.7,2.1,9,,Yes,No,3D,0.00
102,19:47:16.000 08/02/2024,41.88720217,-87.65899200,184.600,150.800,1.7,2.1,9,,Yes,No,3D,0.00
103,19:47:17.000 08/02/2024,41.88720233,-87.65899183,184.700,150.900,1.7,2.1,9,,Yes,No,3D,0.00
104,19:47:18.000 08/02/2024,41.88720217,-87.65899183,184.700,150.900,1.7,2.1,9,,Yes,No,3D,0.00
105,19:47:19.000 08/02/2024,41.88720217,-87.65899167,184.700,150.900,1.7,2.1,9,,Yes,No,3D,0.00
106,19:47:20.000 08/02/2024,41.88720200,-87.65899150,184.800,151.000,1.7,2.1,9,,Yes,No,3D,0.00
107,19:47:21.000 08/02/2024,41.88720200,-87.65899150,184.800,151.000,1.7,2.1,9,,Yes,No,3D,0.00
108,19:47:22.000 08/02/2024,41.88720183,-87.65899150,184.800,151.000,1.7,2.1,9,,Yes,No,3D,0.00
109,19:47:23.000 08/02/2024,41.88720183,-87.65899133,184.800,151.000,1.7,2.1,9,,Yes,No,3D,0.00
110,19:47:24.000 08/02/2024,41.88720167,-87.65899117,184.900,151.100,1.7,2.1,9,,Yes,No,3D,0.00
111,19:47:25.000 08/02/2024,41.88720167,-87.65899083,184.900,151.100,1.7,2.1,9,,Yes,No,3D,0.00
112,19:47:26.000 08/02/2024,41.88720167,-87.65899033,185.000,151.200,1.7,2.1,9,,Yes,No,3D,0.00
113,19:47:27.000 08/02/2024,41.88720200,-87.65898983,185.000,151.200,1.7,2.1,9,,Yes,No,3D,0.00
114,19:47:28.000 08/02/2024,41.88720217,-87.65898933,185.100,151.300,1.7,2.1,9,,Yes,No,3D,0.00
115,19:47:29.000 08/02/2024,41.88720217,-87.65898900,185.200,151.400,1.7,2.1,9,,Yes,No,3D,0.00
116,19:47:30.000 08/02/2024,41.88720233,-87.65898883,185.200,151.400,1.7,2.1,9,,Yes,No,3D,0.00
117,19:47:31.000 08/02/2024,41.88720250,-87.65898850,185.300,151.500,1.7,2.1,10,,Yes,No,3D,0.00
118,19:47:32.000 08/02/2024,41.88720250,-87.65899050,185.300,151.500,1.7,2.1,10,,Yes,No,3D,0.00
119,19:47:33.000 08/02/2024,41.88720250,-87.65899317,185.100,151.300,1.1,1.8,10,,Yes,No,3D,0.00
120,19:47:34.000 08/02/2024,41.88720250,-87.65899500,184.900,151.100,1.1,1.8,10,,Yes,No,3D,0.00
121,19:47:35.000 08/02/2024,41.88720250,-87.65899750,184.800,151.000,1.1,1.8,10,,Yes,No,3D,0.00
122,19:47:36.000 08/02/2024,41.88720250,-87.65900017,184.500,150.700,1.1,1.8,10,,Yes,No,3D,0.00
123,19:47:37.000 08/02/2024,41.88720233,-87.65900267,184.200,150.400,1.1,1.8,10,,Yes,No,3D,0.00
124,19:47:38.000 08/02/2024,41.88720200,-87.65900467,184.000,150.200,1.1,1.8,10,,Yes,No,3D,0.00
125,19:47:39.000 08/02/2024,41.88720183,-87.65900617,183.700,149.900,1.1,1.8,11,,Yes,No,3D,0.00
126,19:47:40.000 08/02/2024,41.88720167,-87.65900717,183.500,149.700,1.1,1.8,12,,Yes,No,3D,0.00
127,19:47:41.000 08/02/2024,41.88720133,-87.65900817,183.300,149.500,1.3,2.0,12,,Yes,No,3D,0.00
128,19:47:42.000 08/02/2024,41.88720117,-87.65900883,183.200,149.400,1.1,1.8,12,,Yes,No,3D,0.00
129,19:47:43.000 08/02/2024,41.88720067,-87.65900967,183.000,149.200,1.0,1.8,12,,Yes,No,3D,0.00
130,19:47:44.000 08/02/2024,41.88720017,-87.65901050,182.900,149.100,1.0,1.8,12,,Yes,No,3D,0.00
131,19:47:45.000 08/02/2024,41.88719933,-87.65901133,182.700,148.900,1.0,1.8,12,,Yes,No,3D,0.00
132,19:47:46.000 08/02/2024,41.88719850,-87.65901250,182.400,148.600,1.0,1.8,13,,Yes,No,3D,0.00
133,19:47:47.000 08/02/2024,41.88719750,-87.65901367,182.200,148.400,1.0,1.8,13,,Yes,No,3D,0.00
134,19:47:48.000 08/02/2024,41.88719650,-87.65901467,181.900,148.100,1.0,1.8,13,,Yes,No,3D,0.00
135,19:47:49.000 08/02/2024,41.88719550,-87.65901567,181.700,147.900,1.0,1.8,13,,Yes,No,3D,0.00
136,19:47:50.000 08/02/2024,41.88719500,-87.65901633,181.400,147.600,1.0,1.8,13,,Yes,No,3D,0.00
137,19:47:51.000 08/02/2024,41.88719433,-87.65901683,181.300,147.500,1.1,1.9,13,,Yes,No,3D,0.00
138,19:47:52.000 08/02/2024,41.88719400,-87.65901733,181.100,147.300,1.1,1.9,13,,Yes,No,3D,0.00
139,19:47:53.000 08/02/2024,41.88719400,-87.65901767,181.000,147.200,1.1,1.9,13,,Yes,No,3D,0.00
140,19:47:54.000 08/02/2024,41.88719433,-87.65901783,181.000,147.200,1.1,1.9,13,,Yes,No,3D,0.00
141,19:47:55.000 08/02/2024,41.88719467,-87.65901783,181.000,147.200,1.1,1.9,13,,Yes,No,3D,0.00
142,19:47:56.000 08/02/2024,41.88719533,-87.65901783,181.000,147.200,1.0,1.8,13,,Yes,No,3D,0.00
143,19:47:57.000 08/02/2024,41.88719617,-87.65901767,181.100,147.300,1.0,1.8,13,,Yes,No,3D,0.00
144,19:47:58.000 08/02/2024,41.88719700,-87.65901750,181.200,147.400,1.0,1.8,13,,Yes,No,3D,0.00
145,19:47:59.000 08/02/2024,41.88719783,-87.65901733,181.300,147.500,1.0,1.8,13,,Yes,No,3D,0.00
146,19:48:00.000 08/02/2024,41.88719850,-87.65901717,181.300,147.500,1.0,1.8,13,,Yes,No,3D,0.00
147,19:48:01.000 08/02/2024,41.88719917,-87.65901700,181.400,147.600,1.0,1.8,13,,Yes,No,3D,0.00
148,19:48:02.000 08/02/2024,41.88719967,-87.65901700,181.500,147.700,1.0,1.8,13,,Yes,No,3D,0.00
149,19:48:03.000 08/02/2024,41.88720033,-87.65901683,181.500,147.700,1.0,1.8,13,,Yes,No,3D,0.00
150,19:48:04.000 08/02/2024,41.88720083,-87.65901667,181.500,147.700,1.0,1.8,13,,Yes,No,3D,0.00
151,19:48:05.000 08/02/2024,41.88720133,-87.65901667,181.600,147.800,1.0,1.8,13,,Yes,No,3D,0.00
152,19:48:06.000 08/02/2024,41.88720250,-87.65901650,181.600,147.800,1.0,1.8,13,,Yes,No,3D,0.00
153,19:48:07.000 08/02/2024,41.88720350,-87.65901633,181.700,147.900,1.0,1.8,13,,Yes,No,3D,0.00
154,19:48:08.000 08/02/2024,41.88720450,-87.65901633,181.800,148.000,1.0,1.8,13,,Yes,No,3D,0.00
155,19:48:09.000 08/02/2024,41.88720533,-87.65901633,181.900,148.100,1.0,1.8,14,,Yes,No,3D,0.00
156,19:48:10.000 08/02/2024,41.88720583,-87.65901633,181.900,148.100,1.0,1.8,14,,Yes,No,3D,0.00
157,19:48:11.000 08/02/2024,41.88720633,-87.65901633,181.900,148.100,1.0,1.8,14,,Yes,No,3D,0.00
158,19:48:12.000 08/02/2024,41.88720667,-87.65901633,182.000,148.200,1.0,1.8,14,,Yes,No,3D,0.00
159,19:48:13.000 08/02/2024,41.88720700,-87.65901633,182.000,148.200,0.9,1.6,14,,Yes,No,3D,0.00
160,19:48:14.000 08/02/2024,41.88720733,-87.65901617,182.000,148.200,0.9,1.6,14,,Yes,No,3D,0.00
161,19:48:15.000 08/02/2024,41.88720783,-87.65901600,182.000,148.200,0.9,1.6,14,,Yes,No,3D,0.00
162,19:48:16.000 08/02/2024,41.88720817,-87.65901600,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
163,19:48:17.000 08/02/2024,41.88720850,-87.65901583,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
164,19:48:18.000 08/02/2024,41.88720883,-87.65901550,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
165,19:48:19.000 08/02/2024,41.88720917,-87.65901517,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
166,19:48:20.000 08/02/2024,41.88720967,-87.65901500,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
167,19:48:21.000 08/02/2024,41.88721233,-87.65901467,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
168,19:48:22.000 08/02/2024,41.88721300,-87.65901550,182.300,148.500,0.9,1.6,14,,Yes,No,3D,0.00
169,19:48:23.000 08/02/2024,41.88721817,-87.65901750,182.800,149.000,0.9,1.6,14,,Yes,No,3D,0.00
170,19:48:24.000 08/02/2024,41.88722550,-87.65902000,183.100,149.300,0.9,1.6,14,,Yes,No,3D,0.00
171,19:48:25.000 08/02/2024,41.88723433,-87.65902200,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
172,19:48:26.000 08/02/2024,41.88724150,-87.65902533,183.400,149.600,0.9,1.6,14,,Yes,No,3D,0.00
173,19:48:27.000 08/02/2024,41.88724667,-87.65902633,183.500,149.700,0.9,1.6,14,,Yes,No,3D,0.00
174,19:48:28.000 08/02/2024,41.88724900,-87.65902700,183.600,149.800,0.9,1.6,14,,Yes,No,3D,0.00
175,19:48:29.000 08/02/2024,41.88725017,-87.65902783,183.500,149.700,0.9,1.6,14,,Yes,No,3D,0.00
176,19:48:30.000 08/02/2024,41.88725067,-87.65902683,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
177,19:48:31.000 08/02/2024,41.88724950,-87.65902550,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
178,19:48:32.000 08/02/2024,41.88724883,-87.65902533,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
179,19:48:33.000 08/02/2024,41.88724800,-87.65902500,183.100,149.300,0.9,1.6,14,,Yes,No,3D,0.00
180,19:48:34.000 08/02/2024,41.88724733,-87.65902600,183.100,149.300,0.9,1.6,14,,Yes,No,3D,0.00
181,19:48:35.000 08/02/2024,41.88724683,-87.65902817,183.000,149.200,0.9,1.6,14,,Yes,No,3D,0.00
182,19:48:36.000 08/02/2024,41.88724567,-87.65902850,182.900,149.100,0.9,1.6,14,,Yes,No,3D,0.00
183,19:48:37.000 08/02/2024,41.88724450,-87.65902800,182.800,149.000,0.9,1.6,14,,Yes,No,3D,0.00
184,19:48:38.000 08/02/2024,41.88724350,-87.65902767,182.700,148.900,0.9,1.6,14,,Yes,No,3D,0.00
185,19:48:39.000 08/02/2024,41.88724300,-87.65902750,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
186,19:48:40.000 08/02/2024,41.88724267,-87.65902733,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
187,19:48:41.000 08/02/2024,41.88724233,-87.65902767,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
188,19:48:42.000 08/02/2024,41.88724200,-87.65902767,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
189,19:48:43.000 08/02/2024,41.88724183,-87.65902700,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
190,19:48:44.000 08/02/2024,41.88724200,-87.65902750,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
191,19:48:45.000 08/02/2024,41.88724217,-87.65902767,182.900,149.100,0.9,1.6,15,,Yes,No,3D,0.00
192,19:48:46.000 08/02/2024,41.88724250,-87.65902767,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
193,19:48:47.000 08/02/2024,41.88724433,-87.65902700,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
194,19:48:48.000 08/02/2024,41.88724883,-87.65902667,182.800,149.000,0.9,1.6,16,,Yes,No,3D,0.00
195,19:48:49.000 08/02/2024,41.88725533,-87.65902550,182.800,149.000,0.9,1.6,16,,Yes,No,3D,0.00
196,19:48:50.000 08/02/2024,41.88726533,-87.65902517,182.900,149.100,0.9,1.6,16,,Yes,No,3D,0.00
197,19:48:51.000 08/02/2024,41.88727517,-87.65902517,182.900,149.100,0.9,1.6,16,,Yes,No,3D,0.00
198,19:48:52.000 08/02/2024,41.88728533,-87.65902617,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
199,19:48:53.000 08/02/2024,41.88729533,-87.65902800,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
200,19:48:54.000 08/02/2024,41.88730533,-87.65902867,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
201,19:48:55.000 08/02/2024,41.88731600,-87.65902800,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
202,19:48:56.000 08/02/2024,41.88732617,-87.65902583,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
203,19:48:57.000 08/02/2024,41.88733383,-87.65902000,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
204,19:48:58.000 08/02/2024,41.88733733,-87.65901567,183.100,149.300,0.9,1.4,16,,Yes,Yes,3D,0.00
205,19:48:59.000 08/02/2024,41.88733833,-87.65901367,183.100,149.300,0.9,1.4,16,,Yes,Yes,3D,0.00
206,19:49:00.000 08/02/2024,41.88733783,-87.65901250,183.200,149.400,0.9,1.4,16,,Yes,No,3D,0.00
207,19:49:01.000 08/02/2024,41.88733700,-87.65901050,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
208,19:49:02.000 08/02/2024,41.88733717,-87.65900617,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
209,19:49:03.000 08/02/2024,41.88733850,-87.65900100,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
210,19:49:04.000 08/02/2024,41.88733783,-87.65899500,183.000,149.200,0.9,1.4,16,,Yes,Yes,3D,0.00
